Name,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites
Saber Marionette J Again,OVA,6,Finished Airing,"Nov 25, 1997 to Jun 25, 1998",Bandai Visual,Bandai Entertainment,Hal Film Maker,Novel,"Romance, Sci-Fi, Action, Comedy","Harem, Mecha",27 min. per ep.,PG-13 - Teens 13 or older,"7.23 scored by 5,738 users",#2792,#5301,"10,870",14
Rurouni Kenshin: Special Techniques,Special,1,Finished Airing,"Oct 21, 1997","None found, add some","None found, add some","Studio Deen, Gallop",Manga,"Action, Comedy",Samurai,25 min.,PG-13 - Teens 13 or older,"7.23 scored by 3,757 users",#2791,#5239,"11,185",7
Quanzhi Fashi,ONA,12,Finished Airing,"Sep 2, 2016 to Nov 4, 2016","Tencent Penguin Pictures, China Literature Limited","None found, add some",Shanghai Foch Film and TV Culture Investment,Novel,"Action, Fantasy",School,18 min. per ep.,PG-13 - Teens 13 or older,"7.23 scored by 49,475 users",#2790,#1601,"108,029",486
Popee the Performer,TV,39,Finished Airing,"Jan 3, 2000 to Dec 28, 2001","Nippon Columbia, Kids Station","None found, add some","None found, add some",Original,"Avant Garde, Comedy",,4 min. per ep.,R - 17+ (violence & profanity),"7.23 scored by 3,623 users",#2788,#5848,"8,579",231
Precure Miracle Leap Movie: Minna to no Fushigi na Ichinichi,Movie,1,Finished Airing,"Oct 31, 2020","None found, add some","None found, add some",Toei Animation,Original,"Action, Fantasy",Mahou Shoujo,1 hr. 10 min.,G - All Ages,7.23 scored by None users,#2789,#9618,"2,055",4
Kamichama Karin,TV,26,Finished Airing,"Apr 6, 2007 to Sep 28, 2007","Nihon Ad Systems, Broccoli, Pony Canyon, Studio Kelmadick","None found, add some",Satelight,Manga,"Romance, Fantasy, Comedy","School, Mahou Shoujo",24 min. per ep.,PG-13 - Teens 13 or older,"7.22 scored by 20,914 users",#2850,#2664,"48,038",341
Kaiketsu Zorro,TV,52,Finished Airing,"Apr 5, 1996 to Apr 14, 1997",Toho,"None found, add some",Ashi Production,Other,,Historical,24 min. per ep.,PG-13 - Teens 13 or older,"7.22 scored by 5,265 users",#2849,#5381,"10,488",58
Gundam Build Fighters Try,TV,25,Finished Airing,"Oct 8, 2014 to Apr 1, 2015","Sotsu, TV Tokyo",Nozomi Entertainment,Sunrise,Original,"Sci-Fi, Action",Mecha,25 min. per ep.,G - All Ages,"7.22 scored by 22,469 users",#2847,#2959,"39,669",105
Jormungand: Perfect Order Recap,Special,1,Finished Airing,"Oct 3, 2012","None found, add some","None found, add some",White Fox,Manga,"Adventure, Action",Organized Crime,24 min.,R - 17+ (violence & profanity),"7.22 scored by 4,141 users",#2848,#5131,"11,869",18
Golden Kamuy OVA,OVA,1,Finished Airing,"Sep 19, 2018","Shueisha, NBCUniversal Entertainment Japan, Twin Engine","None found, add some",Geno Studio,Manga,"Adventure, Action",Historical,22 min.,R - 17+ (violence & profanity),"7.22 scored by 9,173 users",#2846,#4042,"21,170",11
Gegege no Kitarou (2018),TV,97,Finished Airing,"Apr 1, 2018 to Mar 29, 2020","Yomiko Advertising, Fuji TV","None found, add some",Toei Animation,Manga,"Horror, Supernatural, Comedy",Mythology,23 min. per ep.,PG - Children,"7.22 scored by 10,362 users",#2845,#2736,"45,226",113
Ganbarist! Shun,TV,30,Finished Airing,"Jul 1, 1996 to Mar 10, 1997",Yomiuri Telecasting,"None found, add some",Sunrise,Manga,"Sports, Comedy",,26 min. per ep.,PG-13 - Teens 13 or older,7.22 scored by None users,#2844,#8546,"3,099",13
Fuujin Monogatari,TV,13,Finished Airing,"Sep 11, 2004 to Feb 26, 2005","Culture Publishers, Sky Perfect Communications, Tohokushinsha Film Corporation, Hakuhodo DY Media Partners",Sentai Filmworks,Production I.G,Original,"Drama, Slice of Life, Supernatural, Fantasy","Iyashikei, School",25 min. per ep.,G - All Ages,"7.22 scored by 3,671 users",#2843,#4507,"16,442",99
Fate/kaleid liner Prisma☆Illya Movie: Licht - Namae no Nai Shoujo,Movie,1,Finished Airing,"Aug 27, 2021","None found, add some",Sentai Filmworks,SILVER LINK.,Manga,"Action, Fantasy",Mahou Shoujo,1 hr. 35 min.,PG-13 - Teens 13 or older,"7.22 scored by 1,027 users",#2842,#3850,"23,515",58
Fairy Tail OVA (2016),OVA,3,Finished Airing,"May 17, 2016 to Dec 16, 2016","None found, add some","None found, add some",A-1 Pictures,Manga,"Ecchi, Fantasy, Comedy",,27 min. per ep.,PG-13 - Teens 13 or older,"7.22 scored by 36,594 users",#2841,#2042,"75,186",184
Dragon Ball Super: Broly - Skytree Super,Special,1,Finished Airing,"Nov 1, 2018","None found, add some","None found, add some",Toei Animation,Manga,"Action, Comedy",,4 min.,PG-13 - Teens 13 or older,"7.22 scored by 6,365 users",#2839,#4708,"14,616",35
Dororo to Hyakkimaru,TV,26,Finished Airing,"Apr 6, 1969 to Sep 28, 1969",Fuji TV,Discotek Media,Mushi Production,Manga,"Adventure, Supernatural, Action",,26 min. per ep.,R - 17+ (violence & profanity),"7.22 scored by 4,456 users",#2838,#4473,"16,754",77
El Cazador de la Bruja,TV,26,Finished Airing,"Apr 3, 2007 to Sep 25, 2007",Victor Entertainment,Funimation,Bee Train,Original,"Adventure, Mystery, Drama",,24 min. per ep.,PG-13 - Teens 13 or older,"7.22 scored by 17,110 users",#2840,#2630,"49,174",231
Doraemon Movie 12: Nobita no Dorabian Nights,Movie,1,Finished Airing,"Mar 9, 1991","None found, add some","None found, add some","None found, add some",Unknown,"Adventure, Fantasy, Comedy",,1 hr. 40 min.,PG - Children,"7.22 scored by 6,387 users",#2837,#5645,"9,290",3
Saint Seiya: Shinku no Shounen Densetsu,Movie,1,Finished Airing,"Jul 23, 1988","None found, add some",Discotek Media,Toei Animation,Unknown,"Adventure, Sci-Fi, Fantasy",,1 hr. 15 min.,PG-13 - Teens 13 or older,"7.21 scored by 8,240 users",#2900,#4713,"14,589",22
Rurouni Kenshin Recap,Special,1,Finished Airing,Jul 1997,"SME Visual Works, Fuji TV","None found, add some","Studio Deen, Gallop",Manga,"Adventure, Romance, Action, Comedy","Samurai, Historical",47 min.,PG-13 - Teens 13 or older,"7.21 scored by 3,017 users",#2899,#5896,"8,413",24
Rewrite 2nd Season,TV,11,Finished Airing,"Jan 14, 2017 to Mar 25, 2017","Magic Capsule, Mainichi Broadcasting System, Tokyo MX, Lawson, Movic, ASCII Media Works, Bushiroad, Visual Arts, BS11, Aniplex","None found, add some",8bit,Visual novel,"Romance, Action, Fantasy, Supernatural, Comedy",Military,24 min. per ep.,PG-13 - Teens 13 or older,"7.21 scored by 47,105 users",#2898,#1658,"103,907",397
Renou Xueyuan,ONA,10,Finished Airing,"Jul 10, 2021 to Sep 4, 2021","None found, add some","None found, add some","None found, add some",Unknown,,,5 min. per ep.,PG-13 - Teens 13 or older,7.21 scored by None users,#2897,#13001,563,7
Patalliro!,TV,49,Finished Airing,"Apr 9, 1982 to May 13, 1983","None found, add some","None found, add some",Toei Animation,Manga,"Adventure, Romance, Boys Love, Comedy",,24 min. per ep.,PG-13 - Teens 13 or older,"7.21 scored by 1,272 users",#2896,#6430,"6,740",88
Onegai My Melody,TV,52,Finished Airing,"Apr 3, 2005 to Mar 26, 2006","Yomiuri Advertising, TV Osaka, Sanrio","None found, add some",Studio Comet,Unknown,"Fantasy, Comedy",,24 min. per ep.,PG - Children,"7.21 scored by 3,552 users",#2894,#5099,"12,049",133
Ou Dorobou Jing,TV,13,Finished Airing,"May 15, 2002 to Aug 14, 2002",Aniplex,ADV Films,Studio Deen,Manga,"Adventure, Sci-Fi, Fantasy, Comedy",,24 min. per ep.,PG-13 - Teens 13 or older,"7.21 scored by 13,825 users",#2895,#3156,"35,122",194
One Piece: Episode of Alabasta - Prologue,Special,1,Finished Airing,"Aug 20, 2011","None found, add some","None found, add some",Toei Animation,Manga,"Adventure, Action, Fantasy",,15 min.,PG-13 - Teens 13 or older,"7.21 scored by 5,882 users",#2893,#4839,"13,655",4
Nogizaka Haruka no Himitsu,TV,12,Finished Airing,"Jul 3, 2008 to Sep 25, 2008","Studio Mausu, ASCII Media Works, Geneon Universal Entertainment",Discotek Media,Diomedéa,Light novel,"Romance, Comedy",,25 min. per ep.,PG-13 - Teens 13 or older,"7.21 scored by 64,742 users",#2892,#1416,"126,466",423
Munou na Nana,TV,13,Finished Airing,"Oct 4, 2020 to Dec 27, 2020","Show Corporation, Kadokawa, NichiNare, Square Enix, Hakuhodo DY Music & Pictures, Kanon Sound, Yomiuri TV Enterprise, AT-X, Nippon Columbia, Docomo Anime Store, BS Fuji","Muse Communication, Funimation",Bridge,Manga,"Supernatural, Suspense","Super Power, Psychological",23 min. per ep.,R - 17+ (violence & profanity),"7.21 scored by 128,424 users",#2891,#743,"259,357","1,297"
Moyashimon Returns,TV,11,Finished Airing,"Jul 6, 2012 to Sep 14, 2012","Dentsu, Fuji TV, Kodansha, Aniplex","None found, add some","Telecom Animation Film, Shirogumi",Manga,"Supernatural, Gourmet, Comedy",School,23 min. per ep.,PG-13 - Teens 13 or older,"7.21 scored by 12,229 users",#2890,#3838,"23,703",17
Mirai Nikki,OVA,1,Finished Airing,"Dec 9, 2010","None found, add some","None found, add some",asread.,Manga,"Supernatural, Action","Survival, High Stakes Game",8 min.,R - 17+ (violence & profanity),"7.21 scored by 116,458 users",#2889,#899,"212,569","2,279"
Miracle☆Girls,TV,51,Finished Airing,"Jan 8, 1993 to Dec 24, 1993",Asatsu DK,"None found, add some",Japan Taps,Manga,,,24 min. per ep.,G - All Ages,"7.21 scored by 1,243 users",#2888,#7664,"4,350",10
Masuda Kousuke Gekijou Gag Manga Biyori 2,TV,12,Finished Airing,"Aug 5, 2006 to Oct 21, 2006","Bandai Visual, Kids Station, SKY Perfect Well Think, DAX Production","None found, add some",Artland,Manga,,Gag Humor,5 min. per ep.,PG-13 - Teens 13 or older,"7.21 scored by 1,274 users",#2887,#8657,"2,980",0
Masuda Kousuke Gekijou Gag Manga Biyori,TV,12,Finished Airing,"Feb 7, 2005 to Apr 25, 2005","Bandai Visual, Kids Station, SKY Perfect Well Think, DAX Production","None found, add some",Artland,Manga,,"Parody, Gag Humor",5 min. per ep.,PG-13 - Teens 13 or older,"7.21 scored by 3,195 users",#2886,#5829,"8,635",59
Figure 17: Tsubasa & Hikaru,TV,13,Finished Airing,"May 27, 2001 to May 26, 2002","Bandai Visual, MediaNet, Genco",Media Blasters,OLM,Original,"Slice of Life, Sci-Fi",,47 min. per ep.,PG-13 - Teens 13 or older,"7.20 scored by 3,120 users",#2950,#5086,"12,122",60
Fate/kaleid liner Prisma☆Illya 2wei Herz!,TV,10,Finished Airing,"Jul 25, 2015 to Sep 26, 2015","Kadokawa Media House, KlockWorx, Lantis, DAX Production, Tokyo MX, AT-X, Kadokawa Shoten",Sentai Filmworks,SILVER LINK.,Manga,"Slice of Life, Action, Fantasy, Comedy",Mahou Shoujo,23 min. per ep.,PG-13 - Teens 13 or older,"7.20 scored by 65,393 users",#2949,#1417,"126,204",235
Dimension W,TV,12,Finished Airing,"Jan 10, 2016 to Mar 27, 2016","I Will, Good Smile Company, Square Enix, Lantis, Tokyo MX, Bandai Visual, Q-Tec",Funimation,"Studio 3Hz, Orange",Manga,"Sci-Fi, Action",,24 min. per ep.,R - 17+ (violence & profanity),"7.20 scored by 131,372 users",#2948,#686,"277,288",793
Digimon Adventure tri. 6: Bokura no Mirai,Movie,1,Finished Airing,"May 5, 2018",Sonilude,"None found, add some",Toei Animation,Original,"Adventure, Drama, Action, Comedy",,1 hr. 38 min.,PG-13 - Teens 13 or older,"7.20 scored by 20,628 users",#2947,#2918,"40,419",47
Denki-gai no Honya-san,TV,12,Finished Airing,"Oct 2, 2014 to Dec 18, 2014","Sotsu, Pony Canyon, Comic Umenohone, DAX Production, Mobcast",Ponycan USA,Shin-Ei Animation,Manga,"Slice of Life, Comedy",Workplace,23 min. per ep.,PG-13 - Teens 13 or older,"7.20 scored by 49,619 users",#2946,#1462,"120,591",262
Date A Live II,TV,10,Finished Airing,"Apr 12, 2014 to Jun 14, 2014","AT-X, Nippon Columbia, Kadokawa Shoten",Funimation,Production IMS,Light novel,"Romance, Sci-Fi, Comedy","School, Harem, Mecha",28 min. per ep.,R - 17+ (violence & profanity),"7.20 scored by 343,167 users",#2945,#311,"552,308","2,057"
D.C.II S.S.: Da Capo II Second Season,TV,13,Finished Airing,"Apr 6, 2008 to Jun 29, 2008","Lantis, GANSIS, Starchild Records","None found, add some",feel.,Visual novel,"Drama, Romance, Fantasy, Comedy",Harem,24 min. per ep.,PG-13 - Teens 13 or older,"7.20 scored by 12,619 users",#2944,#3524,"28,407",51
Cat's Eye,TV,73,Finished Airing,"Jul 11, 1983 to Jul 8, 1985",ImaginAsian Entertainment,Nozomi Entertainment,Tokyo Movie Shinsha,Manga,"Adventure, Romance, Action, Mystery, Comedy",,25 min. per ep.,PG-13 - Teens 13 or older,"7.20 scored by 6,248 users",#2943,#4400,"17,428",71
C: The Money of Soul and Possibility Control,TV,11,Finished Airing,"Apr 15, 2011 to Jun 24, 2011","Fujipacific Music, Sony Music Entertainment, Jumondo, Fuji TV",Funimation,Tatsunoko Production,Original,"Mystery, Action, Suspense",Super Power,22 min. per ep.,PG-13 - Teens 13 or older,"7.20 scored by 137,256 users",#2942,#682,"278,681","1,169"
Boku wa Tomodachi ga Sukunai,TV,12,Finished Airing,"Oct 7, 2011 to Dec 23, 2011","AIC, TBS, Bandai Namco Games, Good Smile Company, Media Factory, Bushiroad",Funimation,AIC Build,Light novel,"Ecchi, Slice of Life, Romance, Comedy","School, Love Polygon",24 min. per ep.,R+ - Mild Nudity,"7.20 scored by 418,088 users",#2941,#193,"733,907","3,617"
Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou,Special,6,Finished Airing,"Sep 21, 2011 to Feb 22, 2012","None found, add some","None found, add some",SILVER LINK.,Light novel,"Romance, Comedy","Super Power, School",5 min. per ep.,PG-13 - Teens 13 or older,"7.20 scored by 13,892 users",#2940,#3199,"34,300",24
Aoharu x Kikanjuu: Kemono-tachi no Senjou da na!,Special,1,Finished Airing,"Dec 25, 2015",TBS,Sentai Filmworks,Brain's Base,Manga,"Action, Comedy",,24 min.,PG-13 - Teens 13 or older,"7.20 scored by 17,513 users",#2939,#3213,"34,041",30
Ajin OVA,OVA,2,Finished Airing,"May 6, 2016 to Oct 7, 2016","None found, add some","None found, add some",Polygon Pictures,Manga,"Horror, Mystery, Supernatural, Action",,21 min. per ep.,R - 17+ (violence & profanity),"7.20 scored by 16,975 users",#2938,#2830,"42,556",25
Additional Memory,Music,1,Finished Airing,"Sep 14, 2018","None found, add some","None found, add some","None found, add some",Original,,Music,4 min.,PG-13 - Teens 13 or older,"7.20 scored by 2,338 users",#2937,#7250,"4,995",24
Zoids Genesis,TV,50,Finished Airing,"Apr 10, 2005 to Mar 26, 2006","None found, add some",VIZ Media,Shogakukan Music & Digital Entertainment,Unknown,"Adventure, Action, Comedy","Mecha, Military",25 min. per ep.,PG - Children,"7.20 scored by 6,126 users",#2936,#4690,"14,753",28
Zettai Karen Children OVA: Aitazousei! Ubawareta Mirai?,OVA,1,Finished Airing,"Jul 16, 2010",Shogakukan-Shueisha Productions,"None found, add some",SynergySP,Unknown,"Supernatural, Action, Comedy",,25 min.,PG-13 - Teens 13 or older,"7.19 scored by 2,692 users",#3000,#6470,"6,619",1
Yoku,Music,1,Finished Airing,"Mar 18, 2022","None found, add some","None found, add some",P.I.C.S.,Original,,,3 min.,G - All Ages,7.19 scored by None users,#2998,#15063,297,3
Yuu☆Yuu☆Hakusho: Meikai Shitou-hen - Honoo no Kizuna,Movie,1,Finished Airing,"Apr 9, 1994","A-Line, Movic",Central Park Media,Studio Pierrot,Manga,"Adventure, Supernatural, Action, Comedy","Mythology, Martial Arts",1 hr. 34 min.,PG-13 - Teens 13 or older,"7.19 scored by 12,410 users",#2999,#3705,"25,553",25
Touhou Niji Sousaku Doujin Anime: Musou Kakyou Special,OVA,1,Finished Airing,"May 11, 2014",Maikaze,"None found, add some","None found, add some",Game,,,11 min.,PG-13 - Teens 13 or older,"7.19 scored by 3,346 users",#2997,#5801,"8,726",32
Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie Lite,Special,1,Finished Airing,"Feb 19, 2014","None found, add some",Sentai Filmworks,Kyoto Animation,Light novel,,,5 min.,PG-13 - Teens 13 or older,"7.19 scored by 16,158 users",#2996,#3208,"34,090",8
Suzuka,TV,26,Finished Airing,"Jul 7, 2005 to Dec 29, 2005","Marvelous, Studio Jack, Starchild Records",Funimation,Studio Comet,Manga,"Drama, Sports, Romance",,23 min. per ep.,PG-13 - Teens 13 or older,"7.19 scored by 51,681 users",#2995,#1603,"107,982",614
Sola,TV,13,Finished Airing,"Apr 7, 2007 to Jun 30, 2007",Lantis,Bandai Entertainment,Nomad,Manga,"Drama, Slice of Life, Romance, Supernatural",,24 min. per ep.,PG-13 - Teens 13 or older,"7.19 scored by 44,072 users",#2993,#1759,"95,646",390
Slayers Premium,Movie,1,Finished Airing,"Dec 22, 2001","chara-ani.com, GANSIS, Starchild Records",ADV Films,Hal Film Maker,Light novel,"Adventure, Fantasy, Comedy",,33 min.,PG-13 - Teens 13 or older,"7.19 scored by 8,967 users",#2992,#4323,"18,174",6
Shakugan no Shana-tan II (Second),Special,3,Finished Airing,"Jan 25, 2008 to Oct 19, 2009","None found, add some",Funimation,J.C.Staff,Unknown,,Parody,6 min. per ep.,PG-13 - Teens 13 or older,"7.19 scored by 20,719 users",#2991,#2911,"40,588",50
Sarusuberi: Miss Hokusai,Movie,1,Finished Airing,"May 9, 2015","Asatsu DK, TV Tokyo, Tokyo Theatres, Trans Cosmos, Bandai Visual, Asahi Shimbun, OLM, DandeLion Animation Studio, Production GoodBook, Sunrise","GKIDS, NYAV Post",Production I.G,Manga,"Drama, Supernatural","Visual Arts, Historical",1 hr. 30 min.,PG-13 - Teens 13 or older,"7.19 scored by 12,673 users",#2989,#3418,"30,053",47
"Sentouin, Hakenshimasu!",TV,12,Finished Airing,"Apr 4, 2021 to Jun 20, 2021","Nippon Columbia, Kadokawa",Funimation,J.C.Staff,Light novel,"Action, Fantasy, Comedy",Isekai,24 min. per ep.,PG-13 - Teens 13 or older,"7.19 scored by 133,611 users",#2990,#658,"287,535","1,792"
Suisei no Gargantia Specials,Special,2,Finished Airing,"Aug 28, 2013 to Oct 25, 2013","None found, add some",VIZ Media,Production I.G,Original,"Adventure, Sci-Fi, Action",Mecha,24 min. per ep.,PG-13 - Teens 13 or older,"7.19 scored by 20,959 users",#2994,#3017,"38,233",11
Papa no Iukoto wo Kikinasai!: Pokkapoka,Special,1,Finished Airing,"Jul 11, 2012","None found, add some",Sentai Filmworks,feel.,Light novel,"Slice of Life, Romance, Comedy",Childcare,24 min.,PG-13 - Teens 13 or older,"7.19 scored by 21,836 users",#2988,#3037,"37,799",19
Ookami-san to Shichinin no Nakama-tachi,TV,12,Finished Airing,"Jul 1, 2010 to Sep 16, 2010","Magic Capsule, Marvelous, flying DOG, Media Factory, Genco, AT-X",Funimation,J.C.Staff,Light novel,"Romance, Comedy",Parody,24 min. per ep.,PG-13 - Teens 13 or older,"7.19 scored by 123,274 users",#2987,#746,"258,443",738
One Piece Film: Gold Episode 0 - 711 ver.,Special,1,Finished Airing,"Jul 2, 2016","None found, add some","None found, add some",Toei Animation,Manga,"Adventure, Action, Fantasy, Comedy",Super Power,10 min.,PG-13 - Teens 13 or older,"7.19 scored by 10,380 users",#2986,#4148,"19,799",11
Dazzling White Town,Music,1,Finished Airing,"Aug 19, 2020","Bandai Namco Arts, Magic Capsule, Kadokawa, Lantis","None found, add some",Sunrise,Original,,"Idols (Female), Music",9 min.,PG-13 - Teens 13 or older,7.17 scored by None users,#3049,#10707,"1,342",4
Deadman Wonderland,TV,12,Finished Airing,"Apr 17, 2011 to Jul 3, 2011","AMG MUSIC, Kadokawa Pictures Japan, Kadokawa Shoten, KlockWorx",Funimation,Manglobe,Manga,"Horror, Supernatural, Sci-Fi, Action","Gore, Survival, High Stakes Game",24 min. per ep.,R - 17+ (violence & profanity),"7.17 scored by 625,046 users",#3050,#93,"1,107,757","6,203"
Days (TV),TV,24,Finished Airing,"Jul 2, 2016 to Dec 18, 2016","Dentsu, Animatic, Pony Canyon, Animax, Kodansha, Mainichi Broadcasting System, Tokyo MX, Techno Sound, BS11, Lawson HMV Entertainment",Ponycan USA,MAPPA,Manga,,"School, Team Sports",24 min. per ep.,PG-13 - Teens 13 or older,"7.17 scored by 61,457 users",#3048,#1393,"129,878",440
Date A Live,TV,12,Finished Airing,"Apr 6, 2013 to Jun 22, 2013","AIC, Fujimi Shobo, AT-X, Nippon Columbia, Kadokawa Shoten",Funimation,AIC PLUS+,Light novel,"Romance, Sci-Fi, Comedy","School, Harem, Mecha",25 min. per ep.,R - 17+ (violence & profanity),"7.17 scored by 512,424 users",#3047,#137,"891,835","8,671"
Chuukan Kanriroku Tonegawa,TV,24,Finished Airing,"Jul 4, 2018 to Dec 26, 2018","Nippon Television Music, Half H.P Studio, Nippon Television Network, VAP",Sentai Filmworks,Madhouse,Manga,"Drama, Comedy","Adult Cast, Psychological, Parody",23 min. per ep.,PG-13 - Teens 13 or older,"7.17 scored by 12,048 users",#3045,#3104,"36,175",103
Cyber City Oedo 808,OVA,3,Finished Airing,"Jun 21, 1990 to Oct 4, 1991",Japan Home Video,"Central Park Media, Discotek Media",Madhouse,Original,"Adventure, Sci-Fi, Action",Detective,43 min. per ep.,R - 17+ (violence & profanity),"7.17 scored by 9,343 users",#3046,#3815,"24,124",150
